,medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,discipline_code,event,country,discipline
1066,Gold Medal,1,2021-08-01 00:00:00.0,SEEBOHM E,SEEBOHM Emily,,../../../en/results/swimming/athlete-profile-n1482881-seebohm-emily.htm,AUS,SWM,Women's 4 x 100m Medley Relay,Australia,Swimming
1067,Gold Medal,1,2021-08-01 00:00:00.0,HODGES C,HODGES Chelsea,W,../../../en/results/swimming/athlete-profile-n1482890-hodges-chelsea.htm,AUS,SWM,Women's 4 x 100m Medley Relay,Australia,Swimming
1068,Gold Medal,1,2021-08-01 00:00:00.0,McKEON E,McKEON Emma,,../../../en/results/swimming/athlete-profile-n1482869-mckeon-emma.htm,AUS,SWM,Women's 4 x 100m Medley Relay,Australia,Swimming
1069,Gold Medal,1,2021-08-01 00:00:00.0,CAMPBELL C,CAMPBELL Cate,,../../../en/results/swimming/athlete-profile-n1482861-campbell-cate.htm,AUS,SWM,Women's 4 x 100m Medley Relay,Australia,
1070,Gold Medal,1,2021-08-01 00:00:00.0,McKEOWN K,McKEOWN Kaylee,W,../../../en/results/swimming/athlete-profile-n1482870-mckeown-kaylee.htm,AUS,SWM,Women's 4 x 100m Medley Relay,Australia,Swimming
1071,Silver Medal,2,2021-08-01 00:00:00.0,SMITH R,SMITH Regan,W,../../../en/results/swimming/athlete-profile-n1302447-smith-regan.htm,USA,SWM,Women's 4 x 100m Medley Relay,United States of America,Swimming
1072,Silver Medal,2,2021-08-01 00:00:00.0,KING L,KING Lilly,,../../../en/results/swimming/athlete-profile-n1302307-king-lilly.htm,USA,SWM,Women's 4 x 100m Medley Relay,United States of America,Swimming
1073,Silver Medal,2,2021-08-01 00:00:00.0,HUSKE T,HUSKE Torri,,../../../en/results/swimming/athlete-profile-n1302457-huske-torri.htm,USA,SWM,Women's 4 x 100m Medley Relay,United States of America,Swimming
1074,Silver Medal,2,2021-08-01 00:00:00.0,CURZAN C,CURZAN Claire,,../../../en/results/swimming/athlete-profile-n1302242-curzan-claire.htm,USA,SWM,Women's 4 x 100m Medley Relay,United States of America,Swimming
1075,Silver Medal,2,2021-08-01 00:00:00.0,WEITZEIL A,WEITZEIL Abbey,W,../../../en/results/swimming/athlete-profile-n1302233-weitzeil-abbey.htm,USA,SWM,Women's 4 x 100m Medley Relay,United States of America,Swimming
1076,Silver Medal,2,2021-08-01 00:00:00.0,,BROWN Erika,,../../../en/results/swimming/athlete-profile-n1302262-brown-erika.htm,USA,SWM,Women's 4 x 100m Medley Relay,United States of America,
1077,Silver Medal,2,2021-08-01 00:00:00.0,JACOBY L,JACOBY Lydia,,../../../en/results/swimming/athlete-profile-n1790180-jacoby-lydia.htm,USA,SWM,Women's 4 x 100m Medley Relay,United States of America,
1078,Silver Medal,2,2021-08-01 00:00:00.0,WHITE RE,WHITE Rhyan Elizabeth,,../../../en/results/swimming/athlete-profile-n1790184-white-rhyan-elizabeth.htm,USA,SWM,Women's 4 x 100m Medley Relay,United States of America,Swimming
1079,Bronze Medal,3,2021-08-01 00:00:00.0,RUCK T,RUCK Taylor,,../../../en/results/swimming/athlete-profile-n1459651-ruck-taylor.htm,CAN,SWM,Women's 4 x 100m Medley Relay,Canada,Swimming
1080,Bronze Medal,3,2021-08-01 00:00:00.0,,MACNEIL Margaret,W,../../../en/results/swimming/athlete-profile-n1459652-macneil-margaret.htm,CAN,SWM,Women's 4 x 100m Medley Relay,Canada,Swimming
1081,Bronze Medal,3,2021-08-01 00:00:00.0,SANCHEZ K,SANCHEZ Kayla,W,../../../en/results/swimming/athlete-profile-n1459675-sanchez-kayla.htm,CAN,SWM,Women's 4 x 100m Medley Relay,Canada,Swimming
1082,Bronze Medal,3,2021-08-01 00:00:00.0,MASSE K,MASSE Kylie,,../../../en/results/swimming/athlete-profile-n1459656-masse-kylie.htm,CAN,SWM,Women's 4 x 100m Medley Relay,Canada,
1083,Bronze Medal,3,2021-08-01 00:00:00.0,PICKREM S,PICKREM Sydney,,../../../en/results/swimming/athlete-profile-n1459684-pickrem-sydney.htm,CAN,SWM,Women's 4 x 100m Medley Relay,Canada,Swimming
1084,Bronze Medal,3,2021-08-01 00:00:00.0,OLEKSIAK P,OLEKSIAK Penny,,../../../en/results/swimming/athlete-profile-n1459677-oleksiak-penny.htm,CAN,SWM,Women's 4 x 100m Medley Relay,Canada,Swimming
1085,Gold Medal,1,2021-08-01 00:00:00.0,McKEON E,McKEON Emma,,../../../en/results/swimming/athlete-profile-n1482869-mckeon-emma.htm,AUS,SWM,Women's 50m Freestyle,Australia,
1086,Silver Medal,2,2021-08-01 00:00:00.0,,SJOESTROEM Sarah,W,../../../en/results/swimming/athlete-profile-n1383927-sjoestroem-sarah.htm,SWE,SWM,Women's 50m Freestyle,Sweden,
1087,Bronze Medal,3,2021-08-01 00:00:00.0,,BLUME Pernille,,../../../en/results/swimming/athlete-profile-n1366741-blume-pernille.htm,DEN,SWM,Women's 50m Freestyle,Denmark,Swimming
1088,Gold Medal,1,2021-08-01 00:00:00.0,ZVEREV A,ZVEREV Alexander,M,../../../en/results/tennis/athlete-profile-n1319996-zverev-alexander.htm,GER,TEN,Men's Singles,Germany,
1089,Silver Medal,2,2021-08-01 00:00:00.0,KHACHANOV K,KHACHANOV Karen,M,../../../en/results/tennis/athlete-profile-n1436771-khachanov-karen.htm,ROC,TEN,Men's Singles,ROC,Tennis
1090,Gold Medal,1,2021-08-01 00:00:00.0,RUBLEV A,RUBLEV Andrey,X,../../../en/results/tennis/athlete-profile-n1436772-rublev-andrey.htm,ROC,TEN,Mixed Doubles,ROC,
1091,Gold Medal,1,2021-08-01 00:00:00.0,PAVLYUCHENKOVA A,PAVLYUCHENKOVA Anastasia,X,../../../en/results/tennis/athlete-profile-n1436787-pavlyuchenkova-anastasia.htm,ROC,TEN,Mixed Doubles,ROC,Tennis
1092,Silver Medal,2,2021-08-01 00:00:00.0,KARATSEV A,KARATSEV Aslan,X,../../../en/results/tennis/athlete-profile-n1436774-karatsev-aslan.htm,ROC,TEN,Mixed Doubles,ROC,
1093,Silver Medal,2,2021-08-01 00:00:00.0,,VESNINA Elena,X,../../../en/results/tennis/athlete-profile-n1436777-vesnina-elena.htm,ROC,TEN,Mixed Doubles,ROC,Tennis
1094,Gold Medal,1,2021-08-01 00:00:00.0,KREJCIKOVA B,KREJCIKOVA Barbora,,../../../en/results/tennis/athlete-profile-n1408415-krejcikova-barbora.htm,CZE,TEN,Women's Doubles,Czech Republic,
1095,Gold Medal,1,2021-08-01 00:00:00.0,SINIAKOVA K,SINIAKOVA Katerina,,../../../en/results/tennis/athlete-profile-n1408422-siniakova-katerina.htm,CZE,TEN,Women's Doubles,Czech Republic,Tennis
1096,Silver Medal,2,2021-08-01 00:00:00.0,,BENCIC Belinda,W,../../../en/results/tennis/athlete-profile-n1465472-bencic-belinda.htm,SUI,TEN,Women's Doubles,Switzerland,Tennis
1097,Silver Medal,2,2021-08-01 00:00:00.0,GOLUBIC V,GOLUBIC Viktorija,W,../../../en/results/tennis/athlete-profile-n1465761-golubic-viktorija.htm,SUI,TEN,Women's Doubles,Switzerland,Tennis
1098,Gold Medal,1,2021-08-01 00:00:00.0,DAJOMES BARRERA NP,DAJOMES BARRERA Neisi Patricia,,../../../en/results/weightlifting/athlete-profile-n1462004-dajomes-barrera-neisi-patricia.htm,ECU,WLF,Women's 76kg,Ecuador,Weightlifting
1099,Silver Medal,2,2021-08-01 00:00:00.0,NYE KE,NYE Katherine Elizabeth,W,../../../en/results/weightlifting/athlete-profile-n1285332-nye-katherine-elizabeth.htm,USA,WLF,Women's 76kg,United States of America,Weightlifting
1100,Bronze Medal,3,2021-08-01 00:00:00.0,,FUENTES ZAVALA Aremi,,../../../en/results/weightlifting/athlete-profile-n1302080-fuentes-zavala-aremi.htm,MEX,WLF,Women's 76kg,Mexico,Weightlifting
1101,Gold Medal,1,2021-08-02 00:00:00.0,,LIU Yang,M,../../../en/results/artistic-gymnastics/athlete-profile-n1324774-liu-yang.htm,CHN,GAR,Men's Rings,People's Republic of China,Artistic Gymnastics
1102,Silver Medal,2,2021-08-02 00:00:00.0,YOU H,YOU Hao,,../../../en/results/artistic-gymnastics/athlete-profile-n1329503-you-hao.htm,CHN,GAR,Men's Rings,People's Republic of China,
1103,Bronze Medal,3,2021-08-02 00:00:00.0,PETROUNIAS E,PETROUNIAS Eleftherios,M,../../../en/results/artistic-gymnastics/athlete-profile-n1449994-petrounias-eleftherios.htm,GRE,GAR,Men's Rings,Greece,Artistic Gymnastics
1104,Gold Medal,1,2021-08-02 00:00:00.0,SHIN J,SHIN Jeahwan,M,../../../en/results/artistic-gymnastics/athlete-profile-n1345414-shin-jeahwan.htm,KOR,GAR,Men's Vault,Republic of Korea,Artistic Gymnastics
1105,Silver Medal,2,2021-08-02 00:00:00.0,ABLIAZIN D,ABLIAZIN Denis,,../../../en/results/artistic-gymnastics/athlete-profile-n1406250-abliazin-denis.htm,ROC,GAR,Men's Vault,ROC,
1106,Bronze Medal,3,2021-08-02 00:00:00.0,DAVTYAN A,DAVTYAN Artur,,../../../en/results/artistic-gymnastics/athlete-profile-n1282141-davtyan-artur.htm,ARM,GAR,Men's Vault,Armenia,Artistic Gymnastics
1107,Gold Medal,1,2021-08-02 00:00:00.0,CAREY J,CAREY Jade,W,../../../en/results/artistic-gymnastics/athlete-profile-n1348673-carey-jade.htm,USA,GAR,Women's Floor Exercise,United States of America,Artistic Gymnastics
1108,Silver Medal,2,2021-08-02 00:00:00.0,FERRARI V,FERRARI Vanessa,,../../../en/results/artistic-gymnastics/athlete-profile-n1333925-ferrari-vanessa.htm,ITA,GAR,Women's Floor Exercise,Italy,Artistic Gymnastics
1109,Bronze Medal,3,2021-08-02 00:00:00.0,MURAKAMI M,MURAKAMI Mai,,../../../en/results/artistic-gymnastics/athlete-profile-n1319115-murakami-mai.htm,JPN,GAR,Women's Floor Exercise,Japan,Artistic Gymnastics
1110,Bronze Medal,3,2021-08-02 00:00:00.0,MELNIKOVA A,MELNIKOVA Angelina,W,../../../en/results/artistic-gymnastics/athlete-profile-n1406270-melnikova-angelina.htm,ROC,GAR,Women's Floor Exercise,ROC,Artistic Gymnastics
1111,Gold Medal,1,2021-08-02 00:00:00.0,,EL BAKKALI Soufiane,,../../../en/results/athletics/athlete-profile-n1421637-el-bakkali-soufiane.htm,MAR,ATH,Men's 3000m Steeplechase,Morocco,Athletics
1112,Silver Medal,2,2021-08-02 00:00:00.0,GIRMA L,GIRMA Lamecha,M,../../../en/results/athletics/athlete-profile-n1450573-girma-lamecha.htm,ETH,ATH,Men's 3000m Steeplechase,Ethiopia,
1113,Bronze Medal,3,2021-08-02 00:00:00.0,,KIGEN Benjamin,M,../../../en/results/athletics/athlete-profile-n1402333-kigen-benjamin.htm,KEN,ATH,Men's 3000m Steeplechase,Kenya,Athletics
1114,Gold Medal,1,2021-08-02 00:00:00.0,TENTOGLOU M,TENTOGLOU Miltiadis,M,../../../en/results/athletics/athlete-profile-n1450027-tentoglou-miltiadis.htm,GRE,ATH,Men's Long Jump,Greece,
1115,Silver Medal,2,2021-08-02 00:00:00.0,ECHEVARRIA JM,ECHEVARRIA Juan Miguel,M,../../../en/results/athletics/athlete-profile-n1305849-echevarria-juan-miguel.htm,CUB,ATH,Men's Long Jump,Cuba,
1116,Bronze Medal,3,2021-08-02 00:00:00.0,MASSO M,MASSO Maykel,M,../../../en/results/athletics/athlete-profile-n1305862-masso-maykel.htm,CUB,ATH,Men's Long Jump,Cuba,Athletics
1117,Gold Medal,1,2021-08-02 00:00:00.0,CAMACHO-QUINN J,CAMACHO-QUINN Jasmine,W,../../../en/results/athletics/athlete-profile-n1285703-camacho-quinn-jasmine.htm,PUR,ATH,Women's 100m Hurdles,Puerto Rico,Athletics
1118,Silver Medal,2,2021-08-02 00:00:00.0,HARRISON K,HARRISON Kendra,W,../../../en/results/athletics/athlete-profile-n1469657-harrison-kendra.htm,USA,ATH,Women's 100m Hurdles,United States of America,Athletics
1119,Bronze Medal,3,2021-08-02 00:00:00.0,TAPPER M,TAPPER Megan,W,../../../en/results/athletics/athlete-profile-n1437878-tapper-megan.htm,JAM,ATH,Women's 100m Hurdles,Jamaica,Athletics
1120,Gold Medal,1,2021-08-02 00:00:00.0,HASSAN S,HASSAN Sifan,W,../../../en/results/athletics/athlete-profile-n1476183-hassan-sifan.htm,NED,ATH,Women's 5000m,Netherlands,Athletics
1121,Silver Medal,2,2021-08-02 00:00:00.0,OBIRI H,OBIRI Hellen,W,../../../en/results/athletics/athlete-profile-n1402355-obiri-hellen.htm,KEN,ATH,Women's 5000m,Kenya,Athletics
1122,Bronze Medal,3,2021-08-02 00:00:00.0,TSEGAY G,TSEGAY Gudaf,,../../../en/results/athletics/athlete-profile-n1351964-tsegay-gudaf.htm,ETH,ATH,Women's 5000m,Ethiopia,Athletics
1123,Gold Medal,1,2021-08-02 00:00:00.0,ALLMAN V,ALLMAN Valarie,W,../../../en/results/athletics/athlete-profile-n1459019-allman-valarie.htm,USA,ATH,Women's Discus Throw,United States of America,Athletics
1124,Silver Medal,2,2021-08-02 00:00:00.0,,PUDENZ Kristin,W,../../../en/results/athletics/athlete-profile-n1347172-pudenz-kristin.htm,GER,ATH,Women's Discus Throw,Germany,Athletics
1125,Bronze Medal,3,2021-08-02 00:00:00.0,PEREZ Y,PEREZ Yaime,W,../../../en/results/athletics/athlete-profile-n1305834-perez-yaime.htm,CUB,ATH,Women's Discus Throw,Cuba,
1126,Gold Medal,1,2021-08-02 00:00:00.0,,AXELSEN Viktor,,../../../en/results/badminton/athlete-profile-n1366610-axelsen-viktor.htm,DEN,BDM,Men's Singles,Denmark,Badminton
1127,Silver Medal,2,2021-08-02 00:00:00.0,,CHEN Long,,../../../en/results/badminton/athlete-profile-n1349464-chen-long.htm,CHN,BDM,Men's Singles,People's Republic of China,Badminton
1128,Bronze Medal,3,2021-08-02 00:00:00.0,AS GINTING,GINTING Anthony Sinisuka,,../../../en/results/badminton/athlete-profile-n1364394-ginting-anthony-sinisuka.htm,INA,BDM,Men's Singles,Indonesia,
1129,Gold Medal,1,2021-08-02 00:00:00.0,G POLII,Greysia POLII,,../../../en/results/badminton/athlete-profile-n1364407-greysia-polii.htm,INA,BDM,Women's Doubles,Indonesia,Badminton
1130,Gold Medal,1,2021-08-02 00:00:00.0,,RAHAYU Apriyani,W,../../../en/results/badminton/athlete-profile-n1364408-rahayu-apriyani.htm,INA,BDM,Women's Doubles,Indonesia,Badminton
1131,Silver Medal,2,2021-08-02 00:00:00.0,CHEN Qing Chen,CHEN Qing Chen,W,../../../en/results/badminton/athlete-profile-n1350257-chen-qing-chen.htm,CHN,BDM,Women's Doubles,People's Republic of China,Badminton
1132,Silver Medal,2,2021-08-02 00:00:00.0,JIA Yi Fan,JIA Yi Fan,W,../../../en/results/badminton/athlete-profile-n1350272-jia-yi-fan.htm,CHN,BDM,Women's Doubles,People's Republic of China,Badminton
1133,Bronze Medal,3,2021-08-02 00:00:00.0,KIM S,KIM Soyeong,,../../../en/results/badminton/athlete-profile-n1329879-kim-soyeong.htm,KOR,BDM,Women's Doubles,Republic of Korea,Badminton
1134,Bronze Medal,3,2021-08-02 00:00:00.0,KONG H,KONG Heeyong,W,../../../en/results/badminton/athlete-profile-n1329880-kong-heeyong.htm,KOR,BDM,Women's Doubles,Republic of Korea,Badminton
1135,Gold Medal,1,2021-08-02 00:00:00.0,ZHONG T,ZHONG Tianshi,W,../../../en/results/cycling-track/athlete-profile-n1352032-zhong-tianshi.htm,CHN,CTR,Women's Team Sprint,People's Republic of China,Cycling Track
1136,Gold Medal,1,2021-08-02 00:00:00.0,BAO S,BAO Shanju,W,../../../en/results/cycling-track/athlete-profile-n1388592-bao-shanju.htm,CHN,CTR,Women's Team Sprint,People's Republic of China,Cycling Track
1137,Silver Medal,2,2021-08-02 00:00:00.0,HINZE E,HINZE Emma,W,../../../en/results/cycling-track/athlete-profile-n1330469-hinze-emma.htm,GER,CTR,Women's Team Sprint,Germany,
1138,Silver Medal,2,2021-08-02 00:00:00.0,,FRIEDRICH Lea Sophie,,../../../en/results/cycling-track/athlete-profile-n1330472-friedrich-lea-sophie.htm,GER,CTR,Women's Team Sprint,Germany,Cycling Track
1139,Bronze Medal,3,2021-08-02 00:00:00.0,VOINOVA A,VOINOVA Anastasiia,W,../../../en/results/cycling-track/athlete-profile-n1436553-voinova-anastasiia.htm,ROC,CTR,Women's Team Sprint,ROC,Cycling Track
1140,Bronze Medal,3,2021-08-02 00:00:00.0,SHMELEVA D,SHMELEVA Daria,W,../../../en/results/cycling-track/athlete-profile-n1436597-shmeleva-daria.htm,ROC,CTR,Women's Team Sprint,ROC,Cycling Track
1141,Gold Medal,1,2021-08-02 00:00:00.0,KRAJEWSKI J,KRAJEWSKI Julia,O,../../../en/results/equestrian/athlete-profile-n1346461-krajewski-julia.htm,GER,EQU,Eventing Individual,Germany,Equestrian
1142,Silver Medal,2,2021-08-02 00:00:00.0,McEWEN T,McEWEN Tom,,../../../en/results/equestrian/athlete-profile-n1478824-mcewen-tom.htm,GBR,EQU,Eventing Individual,Great Britain,Equestrian
1143,Bronze Medal,3,2021-08-02 00:00:00.0,HOY A,HOY Andrew,,../../../en/results/equestrian/athlete-profile-n1482507-hoy-andrew.htm,AUS,EQU,Eventing Individual,Australia,Equestrian
1144,Gold Medal,1,2021-08-02 00:00:00.0,McEWEN T,McEWEN Tom,,../../../en/results/equestrian/athlete-profile-n1478824-mcewen-tom.htm,GBR,EQU,Eventing Team,Great Britain,Equestrian
1145,Gold Medal,1,2021-08-02 00:00:00.0,TOWNEND O,TOWNEND Oliver,O,../../../en/results/equestrian/athlete-profile-n1478830-townend-oliver.htm,GBR,EQU,Eventing Team,Great Britain,Equestrian
1146,Gold Medal,1,2021-08-02 00:00:00.0,COLLETT L,COLLETT Laura,O,../../../en/results/equestrian/athlete-profile-n1478815-collett-laura.htm,GBR,EQU,Eventing Team,Great Britain,Equestrian
1147,Silver Medal,2,2021-08-02 00:00:00.0,ROSE S,ROSE Shane,,../../../en/results/equestrian/athlete-profile-n1482502-rose-shane.htm,AUS,EQU,Eventing Team,Australia,Equestrian
1148,Silver Medal,2,2021-08-02 00:00:00.0,McNAB K,McNAB Kevin,O,../../../en/results/equestrian/athlete-profile-n1482503-mcnab-kevin.htm,AUS,EQU,Eventing Team,Australia,Equestrian
1149,Silver Medal,2,2021-08-02 00:00:00.0,,HOY Andrew,O,../../../en/results/equestrian/athlete-profile-n1482507-hoy-andrew.htm,AUS,EQU,Eventing Team,Australia,Equestrian
1150,Bronze Medal,3,2021-08-02 00:00:00.0,LAGHOUAG KF,LAGHOUAG Karim Florent,O,../../../en/results/equestrian/athlete-profile-n1350506-laghouag-karim-florent.htm,FRA,EQU,Eventing Team,France,Equestrian
1151,Bronze Medal,3,2021-08-02 00:00:00.0,SIX C,SIX Christopher,O,../../../en/results/equestrian/athlete-profile-n1350523-six-christopher.htm,FRA,EQU,Eventing Team,France,Equestrian
1152,Bronze Medal,3,2021-08-02 00:00:00.0,TOUZAINT N,TOUZAINT Nicolas,O,../../../en/results/equestrian/athlete-profile-n1350526-touzaint-nicolas.htm,FRA,EQU,Eventing Team,France,
1153,Gold Medal,1,2021-08-02 00:00:00.0,QUIQUAMPOIX J,QUIQUAMPOIX Jean,M,../../../en/results/shooting/athlete-profile-n1314464-quiquampoix-jean.htm,FRA,SHO,25m Rapid Fire Pistol Men,France,Shooting
1154,Silver Medal,2,2021-08-02 00:00:00.0,PUPO L,PUPO Leuris,M,../../../en/results/shooting/athlete-profile-n1308227-pupo-leuris.htm,CUB,SHO,25m Rapid Fire Pistol Men,Cuba,Shooting
1155,Bronze Medal,3,2021-08-02 00:00:00.0,LI Y,LI Yuehong,M,../../../en/results/shooting/athlete-profile-n1302196-li-yuehong.htm,CHN,SHO,25m Rapid Fire Pistol Men,People's Republic of China,Shooting
1156,Gold Medal,1,2021-08-02 00:00:00.0,ZHANG C,ZHANG Changhong,,../../../en/results/shooting/athlete-profile-n1302173-zhang-changhong.htm,CHN,SHO,50m Rifle 3 Positions Men,People's Republic of China,Shooting
1157,Silver Medal,2,2021-08-02 00:00:00.0,KAMENSKIY S,KAMENSKIY Sergey,,../../../en/results/shooting/athlete-profile-n1428759-kamenskiy-sergey.htm,ROC,SHO,50m Rifle 3 Positions Men,ROC,Shooting
1158,Bronze Medal,3,2021-08-02 00:00:00.0,SEBIC M,SEBIC Milenko,,../../../en/results/shooting/athlete-profile-n1344935-sebic-milenko.htm,SRB,SHO,50m Rifle 3 Positions Men,Serbia,Shooting
1159,Gold Medal,1,2021-08-02 00:00:00.0,LI W,LI Wenwen,W,../../../en/results/weightlifting/athlete-profile-n1342297-li-wenwen.htm,CHN,WLF,Women's +87kg,People's Republic of China,
1160,Silver Medal,2,2021-08-02 00:00:00.0,,CAMPBELL Emily Jade,W,../../../en/results/weightlifting/athlete-profile-n1440043-campbell-emily-jade.htm,GBR,WLF,Women's +87kg,Great Britain,Weightlifting
1161,Bronze Medal,3,2021-08-02 00:00:00.0,,ROBLES Sarah Elizabeth,,../../../en/results/weightlifting/athlete-profile-n1285337-robles-sarah-elizabeth.htm,USA,WLF,Women's +87kg,United States of America,Weightlifting
1162,Gold Medal,1,2021-08-02 00:00:00.0,WANG Z,WANG Zhouyu,W,../../../en/results/weightlifting/athlete-profile-n1342307-wang-zhouyu.htm,CHN,WLF,Women's 87kg,People's Republic of China,Weightlifting
1163,Silver Medal,2,2021-08-02 00:00:00.0,SALAZAR ARCE TY,SALAZAR ARCE Tamara Yajaira,,../../../en/results/weightlifting/athlete-profile-n1462160-salazar-arce-tamara-yajaira.htm,ECU,WLF,Women's 87kg,Ecuador,Weightlifting
1164,Bronze Medal,3,2021-08-02 00:00:00.0,SANTANA PEGUERO CD,SANTANA PEGUERO Crismery Dominga,W,../../../en/results/weightlifting/athlete-profile-n1398757-santana-peguero-crismery-dominga.htm,DOM,WLF,Women's 87kg,Dominican Republic,
1165,Gold Medal,1,2021-08-02 00:00:00.0,,LOPEZ NUNEZ Mijain,,../../../en/results/wrestling/athlete-profile-n1311232-lopez-nunez-mijain.htm,CUB,WRE,Men's Greco-Roman 130kg,Cuba,Wrestling
1166,Silver Medal,2,2021-08-02 00:00:00.0,,KAJAIA Iakobi,M,../../../en/results/wrestling/athlete-profile-n1286074-kajaia-iakobi.htm,GEO,WRE,Men's Greco-Roman 130kg,Georgia,Wrestling
1167,Bronze Medal,3,2021-08-02 00:00:00.0,KAYAALP R,KAYAALP Riza,M,../../../en/results/wrestling/athlete-profile-n1382497-kayaalp-riza.htm,TUR,WRE,Men's Greco-Roman 130kg,Turkey,Wrestling
1168,Bronze Medal,3,2021-08-02 00:00:00.0,SEMENOV S,SEMENOV Sergei,,../../../en/results/wrestling/athlete-profile-n1436166-semenov-sergei.htm,ROC,WRE,Men's Greco-Roman 130kg,ROC,Wrestling
1169,Gold Medal,1,2021-08-02 00:00:00.0,ORTA SANCHEZ LA,ORTA SANCHEZ Luis Alberto,M,../../../en/results/wrestling/athlete-profile-n1348810-orta-sanchez-luis-alberto.htm,CUB,WRE,Men's Greco-Roman 60kg,Cuba,Wrestling
1170,Silver Medal,2,2021-08-02 00:00:00.0,FUMITA K,FUMITA Kenichiro,,../../../en/results/wrestling/athlete-profile-n1316566-fumita-kenichiro.htm,JPN,WRE,Men's Greco-Roman 60kg,Japan,Wrestling
1171,Bronze Medal,3,2021-08-02 00:00:00.0,EMELIN S,EMELIN Sergey,,../../../en/results/wrestling/athlete-profile-n1436156-emelin-sergey.htm,ROC,WRE,Men's Greco-Roman 60kg,ROC,
1172,Bronze Medal,3,2021-08-02 00:00:00.0,,WALIHAN Sailike,,../../../en/results/wrestling/athlete-profile-n1318640-walihan-sailike.htm,CHN,WRE,Men's Greco-Roman 60kg,People's Republic of China,Wrestling
1173,Gold Medal,1,2021-08-02 00:00:00.0,,ROTTER FOCKEN Aline,W,../../../en/results/wrestling/athlete-profile-n1334833-rotter-focken-aline.htm,GER,WRE,Women's Freestyle 76kg,Germany,Wrestling
1174,Silver Medal,2,2021-08-02 00:00:00.0,GRAY AM,GRAY Adeline Maria,,../../../en/results/wrestling/athlete-profile-n1347803-gray-adeline-maria.htm,USA,WRE,Women's Freestyle 76kg,United States of America,Wrestling
1175,Bronze Medal,3,2021-08-02 00:00:00.0,ADAR Y,ADAR Yasemin,W,../../../en/results/wrestling/athlete-profile-n1382524-adar-yasemin.htm,TUR,WRE,Women's Freestyle 76kg,Turkey,Wrestling
1176,Bronze Medal,3,2021-08-02 00:00:00.0,ZHOU Q,ZHOU Qian,,../../../en/results/wrestling/athlete-profile-n1314025-zhou-qian.htm,CHN,WRE,Women's Freestyle 76kg,People's Republic of China,Wrestling
1177,Gold Medal,1,2021-08-03 00:00:00.0,HASHIMOTO D,HASHIMOTO Daiki,,../../../en/results/artistic-gymnastics/athlete-profile-n1318265-hashimoto-daiki.htm,JPN,GAR,Men's Horizontal Bar,Japan,
1178,Silver Medal,2,2021-08-03 00:00:00.0,SRBIC T,SRBIC Tin,,../../../en/results/artistic-gymnastics/athlete-profile-n1325266-srbic-tin.htm,CRO,GAR,Men's Horizontal Bar,Croatia,Artistic Gymnastics
1179,Bronze Medal,3,2021-08-03 00:00:00.0,NAGORNYY N,NAGORNYY Nikita,M,../../../en/results/artistic-gymnastics/athlete-profile-n1406257-nagornyy-nikita.htm,ROC,GAR,Men's Horizontal Bar,ROC,
1180,Gold Medal,1,2021-08-03 00:00:00.0,ZOU J,ZOU Jingyuan,M,../../../en/results/artistic-gymnastics/athlete-profile-n1323057-zou-jingyuan.htm,CHN,GAR,Men's Parallel Bars,People's Republic of China,Artistic Gymnastics
1181,Silver Medal,2,2021-08-03 00:00:00.0,DAUSER L,DAUSER Lukas,,../../../en/results/artistic-gymnastics/athlete-profile-n1329936-dauser-lukas.htm,GER,GAR,Men's Parallel Bars,Germany,
1182,Bronze Medal,3,2021-08-03 00:00:00.0,ARICAN F,ARICAN Ferhat,,../../../en/results/artistic-gymnastics/athlete-profile-n1327455-arican-ferhat.htm,TUR,GAR,Men's Parallel Bars,Turkey,Artistic Gymnastics
1183,Gold Medal,1,2021-08-03 00:00:00.0,GUAN C,GUAN Chenchen,W,../../../en/results/artistic-gymnastics/athlete-profile-n1333572-guan-chenchen.htm,CHN,GAR,Women's Balance Beam,People's Republic of China,Artistic Gymnastics
1184,Silver Medal,2,2021-08-03 00:00:00.0,,TANG Xijing,,../../../en/results/artistic-gymnastics/athlete-profile-n1329911-tang-xijing.htm,CHN,GAR,Women's Balance Beam,People's Republic of China,Artistic Gymnastics
1185,Bronze Medal,3,2021-08-03 00:00:00.0,BILES S,BILES Simone,,../../../en/results/artistic-gymnastics/athlete-profile-n1348720-biles-simone.htm,USA,GAR,Women's Balance Beam,United States of America,Artistic Gymnastics
1186,Gold Medal,1,2021-08-03 00:00:00.0,WARHOLM K,WARHOLM Karsten,M,../../../en/results/athletics/athlete-profile-n1343575-warholm-karsten.htm,NOR,ATH,Men's 400m Hurdles,Norway,Athletics
1187,Silver Medal,2,2021-08-03 00:00:00.0,BENJAMIN R,BENJAMIN Rai,,../../../en/results/athletics/athlete-profile-n1458826-benjamin-rai.htm,USA,ATH,Men's 400m Hurdles,United States of America,Athletics
1188,Bronze Medal,3,2021-08-03 00:00:00.0,dos SANTOS A,dos SANTOS Alison,M,../../../en/results/athletics/athlete-profile-n1354899-dos-santos-alison.htm,BRA,ATH,Men's 400m Hurdles,Brazil,Athletics
